排名,ASIN,标题,价格,评分,评价数,配送,Prime,备注
1,B0BX43LRLL,YJMKOI 3Pcs Daisy Prints Backpack for Girls Middle-School Elementary Students Bookbag Set with Lunch Box (Black),$20.99 ,4.7,203,"Tue, Mar 10",No,
2,B0CGNKKFG8,"Kawaii Girls Backpack for School with Convertible Shoulder Tote Bag, Cute Teenage Multiple Pockets Backpack for Primary Elementary High School, Pink 3 Pcs Set",$36.99 ,4.7,468,"Wed, Mar 11",No,
3,B0B8M95DZP,EKUIZAI 2Pcs Daisy Prints Backpack Sets for Girl Bookbag Primary Schoolbag Elementary Students Daypack with Lunch Bag (Overall Pick),$19.99 ,4.7,2058,"Wed, Mar 11",No,亚马逊推荐
4,B0F1KV2FVG,"Girls Backpack Set, Cute Kids School Backpack For Girls, Childrens Schoolbag For Elementary Primary",需查看,4.8,154,"Tue, Mar 10",No,
5,B0F2FLP2XS,"Fimibuke Backpacks for Girls, 3 PCS Waterproof School Backpack with Lunch Box & Pencil Pouch for Kids Teen Girl, Cute Bookbag School Bag for Elementary Middle High School Student Ages 6+ (Khaki)",$39.99 ,4.6,367,"Wed, Mar 11",No,
6,B0F852KXJF,Kids Backpack for Girls Flower schoolbag with Lunch Bag & Pen Case Waterproof Girl Bookbag for Elementary school (pink),$31.99 ,5,22,"Wed, Mar 11 (Only 7 left)",No,库存紧张
7,B0F1FQJQBQ,"Backpack for Girls 3pcs Set, Kids Backpack for Girls with Lunch Box Pencil Case Set for Teens Elementary Middle School Bags (Purple-3 Piece Set-1)",$33.99 ,4.6,10,"Wed, Mar 11",No,
8,B0DN6DDG18,Hidds School Backpack with Lunch Box for Teens Girls Women 15.6 Inch Laptop College Backpacks with Lunch Bag Bookbag Set Corduroy Kids Elementary Middle High Bag Students Back Pack Daypack - Blue Set,$39.98 ,4.6,65,"Wed, Mar 11 (Only 4 left)",No,库存紧张
9,B0F2M1NRW8,Backpack for Girls 15.6 Inch Laptop School Bag Kids Elementary College 3pcs Backpacks Lunch box Pencil Case Set Bookbags for Girls Teen Women Student Purple,$29.98 ,4.6,35,"Wed, Mar 11",No,
10,B0D1P1JFQH,"3pcs Girls Backpack With Lunch Box & Pencil Case, Cute Rabbit Kids School Backpack Set For Kindergarten & Elementary School (Style A Pink-16.5in) - 50+ bought in past month",$36.41 ,4.6,183,"Thu, Mar 12 (Only 9 left)",No,热销产品
11,B07FM2C71Q,"School Backpack for Teen Girls, Bookbag with Lunch Box and Pencil Case",$34.99 ,4.7,2112,"Wed, Mar 11 (Only 1 left)",No,库存紧张
12,B0C2KGB2RC,Bluboon Bookbags School Backpack Laptop Schoolbag for Teens Girls High School - Save 7% with coupon,$32.99 ,4.6,237,"Wed, Mar 11",No,有优惠券
13,B0BTLM14Z5,3Pcs Girls Rolling Backpack Kids Bookbag with Wheels Set Elementary Students Outdoors Trolley Schoolbag,$40.90 ,4.7,79,Mar 10-19,No,
14,B0F943JYBT,Girls Backpack Set with Bows Heart-shaped Lightweight Schoolbags for Girl Children Spacious Bookbag Waterproof (purple-2),$36.99 ,4.9,20,"Tue, Mar 10 (Only 11 left)",No,库存紧张
15,B0CC67GN3T,"Disney Lilo and Stitch Backpack 3 Piece | Backpack, Pencil Case and Water Bottle | Lilo & Stich Schoolbag | Multicolour",需查看,4.4,238,"Tue, Mar 10",No,
16,B07Z6KSZ8F,"AGSDON 3PCS Toddler Backpack and Lunch Box for Boys, 12"" Dinosaur Preschool Kids Bookbag, Cute Animal Kindergarten Schoolbag (3 Piece Set)",需查看,4.8,2957,"Wed, Mar 11",No,
17,B09R7DMG3S,3Pcs Boys Galaxy Rolling Backpack Kids Backpack with Wheels Trolley Bookbag Wheeled School Bag with Lunch Bag,$42.99 ,4.4,234,"Thu, Mar 12 (Only 4 left)",No,库存紧张
18,B0DRVD1Z1L,Backpacks for Girls Backpack Kids Travel Backpack School Bags for Girls Backpacks Ages 8-10 Bookbag,$21.99 ,4.7,175,"Thu, Mar 12 (Only 1 left)",No,库存紧张
19,B0F8BMBYN1,"Kids Backpack With Lunch Box, Lightweight School 3 Set, Boys Girls Starry Sky Schoolbag, Children Teens Elementary Middle School Christmas",需查看,4.3,17,"Wed, Mar 11",No,
20,B07WN9SSPG,"Toddler Backpack for Girls and Boys, Preschool Bookbag, 12"" Cute Cartoon Animal School Bag",$23.99 ,4.8,2100,"Tue, Mar 10",No,
